,math score,reading score,writing score
0,67,67,63
1,40,59,55
2,59,60,50
3,77,78,68
4,78,73,68
5,63,77,76
6,62,59,63
7,93,88,84
8,63,56,65
9,47,42,45
10,99,83,85
11,80,87,90
12,77,87,85
13,74,74,73
14,81,87,85
15,69,61,57
16,58,47,42
17,54,62,65
18,39,32,31
19,83,76,88
20,58,52,55
21,71,69,73
22,44,55,54
23,46,38,32
24,51,45,42
25,53,60,56
26,71,68,60
27,74,89,89
28,33,54,51
29,87,79,77
30,78,74,73
31,40,41,39
32,65,65,71
33,79,88,89
34,68,74,74
35,57,77,75
36,67,65,54
37,58,68,73
38,98,81,77
39,54,75,72
40,77,67,64
41,87,79,82
42,58,70,70
43,100,88,87
44,60,46,51
45,64,63,57
46,65,76,78
47,68,72,73
48,60,63,57
49,65,68,64
50,52,58,60
51,74,81,85
52,36,53,49
53,57,57,47
54,56,60,62
55,67,80,84
56,88,87,83
57,42,61,51
58,68,51,48
59,76,66,68
60,58,63,59
61,69,67,62
62,77,82,78
63,83,93,97
64,49,74,70
65,71,60,56
66,47,46,49
67,79,64,60
68,60,64,57
69,56,68,73
70,57,52,47
71,49,70,63
72,79,76,81
73,71,76,67
74,71,77,70
75,47,63,59
76,72,91,81
77,78,73,76
78,54,43,45
79,46,59,62
80,51,59,59
81,78,76,73
82,53,71,69
83,63,76,69
84,97,93,88
85,56,52,61
86,72,76,72
87,57,47,42
88,74,71,70
89,81,81,87
90,94,87,93
91,81,73,72
92,58,63,67
93,95,100,100
94,45,52,49
95,63,50,49
96,60,54,53
97,54,61,62
98,75,78,79
99,79,78,77
100,66,67,67
101,47,58,58
102,70,78,82
103,82,74,73
104,56,38,44
105,92,78,71
106,79,88,86
107,41,52,47
108,63,82,71
109,43,34,33
110,77,76,74
111,76,79,76
112,49,61,63
113,59,57,55
114,59,70,58
115,76,90,87
116,55,71,71
117,78,87,89
118,51,53,62
119,41,43,45
120,74,78,86
121,62,54,58
122,77,71,64
123,45,52,45
124,100,84,87
125,83,95,100
126,77,75,82
127,66,70,64
128,65,63,57
129,62,55,56
130,55,54,54
131,73,78,69
132,73,81,76
133,48,66,68
134,52,44,49
135,60,72,64
136,68,63,57
137,65,77,83
138,86,83,87
139,55,62,60
140,80,71,68
141,51,57,57
142,63,61,66
143,60,55,46
144,100,100,100
145,46,44,44
146,67,78,80
147,54,67,59
148,63,79,76
149,68,66,73
150,54,63,58
151,43,44,47
152,64,64,59
153,92,87,87
154,82,95,93
155,84,78,79
156,84,98,97
157,65,63,65
158,83,92,91
159,70,75,75
160,66,72,70
161,71,87,92
162,66,64,58
163,57,64,68
164,86,90,93
165,80,85,83
166,62,60,59
167,71,71,76
168,57,66,71
169,69,64,62
170,83,74,72
171,50,56,60
172,55,56,56
173,55,53,51
174,83,93,95
175,89,87,86
176,51,62,64
177,48,52,49
178,84,95,89
179,69,83,76
180,75,85,87
181,91,100,99
182,76,77,67
183,63,61,59
184,73,65,64
185,52,63,53
186,58,57,53
187,33,51,51
188,68,62,61
189,77,91,89
190,64,64,66
191,39,49,48
192,50,46,48
193,53,57,51
194,54,62,70
195,74,63,65
196,50,63,65
197,55,54,47
198,77,64,70
199,49,64,67
200,66,83,82
201,77,74,75
202,74,78,84
203,85,78,81
204,77,86,84
205,64,62,66
206,61,69,68
207,97,88,85
208,66,75,70
209,62,66,64
210,64,80,77
211,55,57,60
212,53,72,66
213,71,81,77
214,66,59,68
215,68,61,62
216,89,90,83
217,65,69,74
218,43,48,44
219,79,77,83
220,99,94,97
221,82,69,72
222,35,36,39
223,61,71,73
224,76,80,81
225,94,83,82
226,75,90,78
227,81,75,70
228,35,44,33
